Top queries,Clicks,Impressions,CTR,Position
acceptable behaviour in society,0,39,0%,24.92
six degrees social network,0,39,0%,40.54
answers google,0,39,0%,51.08
tune up itunes,0,39,0%,57.72
absa credit card payment options,0,39,0%,91.9
ipod touch ui,0,38,0%,8.21
sony paint advert,0,38,0%,22.79
sony bravia advert paint,0,38,0%,23.55
the slow hustle,0,38,0%,31.76
what the bleep do we know documentary,0,38,0%,35.58
who bought mxit?,0,38,0%,57.08
absa login to my account,0,38,0%,63.61
advice for turning 40,0,38,0%,83.63
samsung d9,0,37,0%,9.59
add beneficiary discovery bank,0,37,0%,9.86
nick rabinowitz,0,37,0%,17.35
samsung d 900,0,37,0%,20.51
web picasa,0,37,0%,40.68
blogger custom domain,0,37,0%,40.97
acceptable social behavior,0,37,0%,42.92
"""google picassa""",0,37,0%,43.54
try fail learn repeat,0,37,0%,43.57
picasa webalbums,0,37,0%,45.24
spastic bronchitis,0,37,0%,47.54
discover card account,0,37,0%,51.43
blue ticks bug,0,37,0%,76.16
whatsapp blue tick,0,37,0%,89.43
where'd you get that body from,0,36,0%,18.5
new camel,0,36,0%,27.36
what is a burk,0,36,0%,28.81
sony bravia paint,0,36,0%,33.08
sony z ultra 2,0,36,0%,33.86
achievement syndrome,0,36,0%,56.19
spamvertising,0,36,0%,69.33
picasaweb.com,0,36,0%,75.25
wikia search,0,36,0%,76.36
new camel cigarettes,0,35,0%,7.49
how to kill a prawn,0,35,0%,9.11
can you forget how to run,0,35,0%,9.4
top 10 countries in the southern hemisphere,0,35,0%,25.69
bouncing ball advert,0,35,0%,28.86
bouncy balls sony,0,35,0%,44.74
samsung d900 phones,0,35,0%,58.51
cliff gareth,0,35,0%,61.06
absa online logon,0,35,0%,62.89
be humble even after you achieve everything,0,35,0%,69.06
famous poets today,0,35,0%,70.14
buy domain for blogger,0,35,0%,75.37
how to pay discovery credit card nedbank,0,35,0%,95.66
one who talks of his own achievements,0,34,0%,10.59
does google own the internet,0,34,0%,11.38
taylor momsen's nike commercial controversy,0,34,0%,18.68
xperia phablet,0,34,0%,25.65
30 seconds to mars singer,0,34,0%,60.56
sxsw 2011,0,34,0%,61.15
nikon d40 review,0,34,0%,70.56
how to get my absa pin,0,34,0%,76.94
scott monument,0,34,0%,83.21
snitch in afrikaans,0,33,0%,10.76
"""picasa web""",0,33,0%,28.09
nikon d40 dslr camera,0,33,0%,46.91
today's poets,0,33,0%,47.97
naked bubble bath,0,33,0%,62.91
absa online internet banking customer support phone contact number 011,0,33,0%,68.06
google blogsearch,0,33,0%,68.27
guitarist andy mckee,0,33,0%,79.36
never hurt anyone,0,33,0%,85.42
never trust a person who gives you something for free,0,32,0%,9.72
ipod touch hack,0,32,0%,19.16
socially acceptable behavior examples,0,32,0%,27.84
sony bouncy ball ad,0,32,0%,37.75
www.absainternetbanking.co.za,0,32,0%,42.34
entrepreneur coach,0,32,0%,52.16
parktown prawn south africa,0,32,0%,53.28
free samsung d900,0,32,0%,57.59
top 100 2007 songs,0,32,0%,58.97
"fall out boy, musician/band",0,32,0%,81.59
what proof do i have when paying a beneficiary whit absa banking app,0,32,0%,87.56
local and mobile,0,32,0%,87.91
fatima meer and nelson mandela,0,31,0%,6.97
nobody gives,0,31,0%,16.55
no one gives a fuck about me,0,31,0%,18.35
wii vs ps3,0,31,0%,30.55
snowflake culture,0,31,0%,33.81
sony bravia ad,0,31,0%,42.84
cracks in our foundations,0,31,0%,45.58
what the do we know movie,0,31,0%,46.42
startup lessons,0,31,0%,60.06
madeleine van rooyen,0,31,0%,65.81
socially unacceptable behavior,0,31,0%,65.9
"""copyscape""",0,31,0%,74.32
absa.co.za internet banking,0,31,0%,89.48
fatima meer,0,31,0%,94.19
job waiting,0,30,0%,10.47
check your facts straight,0,30,0%,10.8
social acceptable,0,30,0%,23.83
turn off blue ticks,0,30,0%,27.07
snowflake community,0,30,0%,28.5
somebody gonna get a hurt real bad,0,30,0%,29.13
how to find a passion project,0,30,0%,29.5
holding onto the cracks in our foundation,0,30,0%,36.83
definition of burke,0,30,0%,45.1
sony bravia balls,0,30,0%,46.07
modern poets,0,30,0%,54.13
nikon d40 camera,0,30,0%,55.63
picasa site,0,30,0%,62.33
rss subscribers,0,30,0%,63.67
google blog directory,0,30,0%,74.3
when people achievement,0,29,0%,8.93
rumshot,0,29,0%,19.24
mossied,0,29,0%,24.17
absa internet banking login,0,29,0%,34.1
lead singer of 30 seconds to mars,0,29,0%,35.76
arranged marriage comic,0,29,0%,36.24
sony bravia balls advert,0,29,0%,41.31
why do some whatsapp ticks not turn blue,0,29,0%,49.41
africa andy mckee,0,29,0%,50
david bullard,0,29,0%,52.76
husayn kassai,0,29,0%,62.97
i hate christmas the grinch,0,29,0%,63.45
install evernote,0,29,0%,69.07
twenty year olds,0,29,0%,70.93
why did they change myspace,0,29,0%,88.48
"""king of the nerds"" trip hawkins the economist",0,28,0%,7.89
cocommet,0,28,0%,11.14
tinus le roux,0,28,0%,13.14
no one gives a damn,0,28,0%,30.14
sony bravia bouncing balls,0,28,0%,32.04
z ultra 2,0,28,0%,36.14
socially normal,0,28,0%,51.5
picasa web gallery,0,28,0%,53.11
socially unacceptable behaviour,0,28,0%,60.64
blueticks,0,28,0%,65.11
no blue ticks on whatsapp,0,28,0%,67.61
what the bleep we know movie,0,28,0%,71.79
hyper local mobile,0,28,0%,78.18
"screw it, let's do it",0,27,0%,2.7
nobody gives a shit about that,0,27,0%,4.85
dans dans dans,0,27,0%,7.59
mycoke fest 2009 location country,0,27,0%,9.15
treadmill of happiness,0,27,0%,14.41
blue tick me,0,27,0%,24.07
picasa web albuns,0,27,0%,28.26
bmw drivers,0,27,0%,32.96
blackberry storm downloads,0,27,0%,37.93
what is an rss subscriber,0,27,0%,44.19
taylor momsen parkour,0,27,0%,45.3
30 seconds to mars vocalist,0,27,0%,45.33
webalbums,0,27,0%,48.67
preloaded beneficiaries absa,0,27,0%,55.3
asba online banking help,0,27,0%,59.81
andy mckee africa,0,27,0%,62.19
absa log,0,27,0%,70.26
teasers rivonia,0,26,0%,5.23
minki van der westhuizen topless,0,26,0%,6.19
just a business,0,26,0%,8.31
mario bros bloopers,0,26,0%,18.96
blue ticked me,0,26,0%,25.92
myspacecom,0,26,0%,26.92
dstv advert,0,26,0%,28.38
live earth concert,0,26,0%,31.88
close flickr account,0,26,0%,50.19
internet banking helpdesk absa,0,26,0%,52.62
blogging custom domain,0,26,0%,57.69
google and picasa,0,26,0%,65.27
christianity atheism,0,26,0%,69.19
kulula.com,0,26,0%,72.62
why am i not surprised,0,25,0%,1
nobody gives a,0,25,0%,12.04
hellkom,0,25,0%,19.48
nokia n 96,0,25,0%,22.52
how to find your passion project,0,25,0%,23.92
happy comedian,0,25,0%,24.04
sony bravia advert balls,0,25,0%,28.44
media whore,0,25,0%,32.52
sony bouncy ball advert,0,25,0%,38.56
sony balls ad,0,25,0%,38.88
absa login online,0,25,0%,43.44
ipod touch review,0,25,0%,46.36
jen paris,0,25,0%,52.24
cash & nic,0,25,0%,59.72
what does the name burke mean,0,25,0%,72.96
